__________________________________________________________________________________

Uk³ad M/M/1/RNT
Œrednia liczba zg³oszeñ na jednostkê czasu : 	   1.000
Œrednia wydajnoœæ stanowiska obs³ugi : 		   2.000
Pojedynczy kwant czasu : 			1000.000


    t		n	k	s
 614.920	2	1	1
 615.321	1	0	1
 615.552	0	0	0
 615.829	1	0	1
 616.032	0	0	0
 616.300	1	0	1
 616.441	0	0	0
 617.630	1	0	1
 617.722	0	0	0
 618.239	1	0	1
 618.506	0	0	0
 619.486	1	0	1
 619.516	2	1	1
 619.542	3	2	1
 619.743	2	1	1
 619.973	1	0	1
 621.186	0	0	0
 621.916	1	0	1
 621.957	0	0	0
 622.512	1	0	1
 623.409	2	1	1
 623.673	1	0	1
 623.833	0	0	0
 624.416	1	0	1
 624.456	0	0	0
 624.859	1	0	1
 624.949	2	1	1
 625.370	1	0	1
 625.403	0	0	0
 626.388	1	0	1
 626.414	0	0	0
 626.804	1	0	1
 627.207	2	1	1
 627.264	1	0	1
 627.859	0	0	0
 629.910	1	0	1
 630.580	0	0	0
 631.675	1	0	1
 632.330	2	1	1
 632.481	1	0	1
 632.518	0	0	0
 632.752	1	0	1
 632.912	0	0	0
 635.672	1	0	1
 635.827	2	1	1
 636.467	1	0	1
 636.770	0	0	0
 638.428	1	0	1
 638.464	0	0	0
 642.026	1	0	1
 642.794	2	1	1
 642.999	1	0	1
 643.138	2	1	1
 643.387	3	2	1
 644.347	4	3	1
 644.544	3	2	1
 644.907	2	1	1
 645.173	3	2	1
 646.874	2	1	1
 647.100	1	0	1
 647.124	0	0	0
 648.070	1	0	1
 648.775	0	0	0
 650.684	1	0	1
 650.817	0	0	0
 653.637	1	0	1
 653.660	0	0	0
 654.358	1	0	1
 654.870	2	1	1
 655.015	1	0	1
 655.030	2	1	1
 655.072	3	2	1
 655.928	2	1	1
 657.186	3	2	1
 657.600	2	1	1
 657.806	1	0	1
 658.292	0	0	0
 658.861	1	0	1
 659.134	2	1	1
 659.357	3	2	1
 659.956	2	1	1
 660.029	1	0	1
 660.548	0	0	0
 660.571	1	0	1
 660.680	2	1	1
 661.634	1	0	1
 661.931	2	1	1
 662.554	3	2	1
 662.953	4	3	1
 663.766	3	2	1
 663.805	4	3	1
 663.809	3	2	1
 663.839	2	1	1
 663.970	1	0	1
 664.198	2	1	1
 664.446	1	0	1
 664.788	0	0	0
 665.839	1	0	1
 665.845	0	0	0
 666.245	1	0	1
 666.451	2	1	1
 666.509	1	0	1
 666.524	0	0	0
 666.872	1	0	1
 666.894	2	1	1
 667.824	1	0	1
 667.924	2	1	1
 668.723	3	2	1
 668.747	4	3	1
 668.908	3	2	1
 668.942	2	1	1
 669.095	3	2	1
 669.383	2	1	1
 669.540	1	0	1
 669.917	0	0	0
 670.938	1	0	1
 670.981	0	0	0
 671.816	1	0	1
 672.100	2	1	1
 672.713	3	2	1
 673.571	2	1	1
 673.807	3	2	1
 674.407	2	1	1
 675.086	1	0	1
 675.304	0	0	0
 675.866	1	0	1
 676.128	0	0	0
 676.321	1	0	1
 676.446	0	0	0
 679.302	1	0	1
 679.865	0	0	0
 680.449	1	0	1
 681.655	2	1	1
 681.912	3	2	1
 682.427	2	1	1
 682.480	3	2	1
 682.659	4	3	1
 683.187	3	2	1
 683.235	2	1	1
 683.332	1	0	1
 684.221	2	1	1
 684.613	1	0	1
 684.706	2	1	1
 684.848	3	2	1
 685.000	4	3	1
 685.212	3	2	1
 685.539	2	1	1
 685.581	1	0	1
 685.618	0	0	0
 686.243	1	0	1
 686.580	0	0	0
 686.933	1	0	1
 688.545	0	0	0
 688.735	1	0	1
 689.010	0	0	0
 689.775	1	0	1
 690.501	0	0	0
 694.086	1	0	1
 694.169	0	0	0
 696.710	1	0	1
 696.765	0	0	0
 697.602	1	0	1
 697.762	2	1	1
 698.057	1	0	1
 698.770	0	0	0
 699.906	1	0	1
 700.036	0	0	0
 700.596	1	0	1
 700.695	2	1	1
 700.854	1	0	1
 700.879	2	1	1
 701.162	1	0	1
 701.620	0	0	0
 703.077	1	0	1
 703.548	0	0	0
 703.717	1	0	1
 704.228	0	0	0
 705.167	1	0	1
 705.259	2	1	1
 705.386	1	0	1
 705.699	0	0	0
 707.402	1	0	1
 707.582	0	0	0
 708.593	1	0	1
 709.156	0	0	0
 709.282	1	0	1
 709.326	0	0	0
 709.439	1	0	1
 709.719	0	0	0
 713.519	1	0	1
 713.574	0	0	0
 716.270	1	0	1
 716.391	2	1	1
 716.861	1	0	1
 717.344	2	1	1
 717.441	3	2	1
 717.734	2	1	1
 717.827	1	0	1
 717.966	2	1	1
 717.969	1	0	1
 718.654	2	1	1
 718.845	3	2	1
 718.977	4	3	1
 718.984	3	2	1
 719.647	4	3	1
 720.181	5	4	1
 720.651	4	3	1
 720.709	3	2	1
 720.804	4	3	1
 722.127	3	2	1
 722.456	2	1	1
 723.327	3	2	1
 723.553	2	1	1
 724.273	3	2	1
 724.297	4	3	1
 726.082	5	4	1
 726.177	4	3	1
 727.309	3	2	1
 727.625	2	1	1
 727.984	3	2	1
 728.232	2	1	1
 728.436	3	2	1
 728.518	4	3	1
 728.825	5	4	1
 728.943	6	5	1
 729.449	5	4	1
 730.138	4	3	1
 730.342	5	4	1
 730.396	4	3	1
 731.501	3	2	1
 731.967	4	3	1
 732.191	3	2	1
 732.483	2	1	1
 732.663	3	2	1
 733.776	2	1	1
 733.853	3	2	1
 734.951	2	1	1
 734.981	3	2	1
 734.992	2	1	1
 735.385	1	0	1
 735.617	2	1	1
 735.839	1	0	1
 736.047	2	1	1
 736.114	3	2	1
 736.453	2	1	1
 736.799	1	0	1
 736.948	2	1	1
 737.143	1	0	1
 737.259	0	0	0
 738.033	1	0	1
 738.167	0	0	0
 738.223	1	0	1
 738.473	0	0	0
 738.917	1	0	1
 739.178	2	1	1
 739.417	3	2	1
 739.729	2	1	1
 740.079	1	0	1
 740.270	2	1	1
 740.424	3	2	1
 740.904	2	1	1
 740.978	1	0	1
 741.063	0	0	0
 742.518	1	0	1
 742.748	0	0	0
 744.396	1	0	1
 744.703	2	1	1
 744.723	1	0	1
 745.396	0	0	0
 745.996	1	0	1
 746.351	0	0	0
 746.396	1	0	1
 746.680	0	0	0
 747.091	1	0	1
 747.220	2	1	1
 747.282	1	0	1
 748.604	0	0	0
 751.355	1	0	1
 751.388	0	0	0
 751.908	1	0	1
 751.970	0	0	0
 752.312	1	0	1
 752.795	0	0	0
 752.875	1	0	1
 753.419	0	0	0
 754.322	1	0	1
 754.450	0	0	0
 755.237	1	0	1
 755.303	0	0	0
 755.777	1	0	1
 755.818	0	0	0
 756.162	1	0	1
 756.208	0	0	0
 757.844	1	0	1
 758.160	0	0	0
 758.949	1	0	1
 759.095	2	1	1
 759.173	1	0	1
 759.565	2	1	1
 759.862	3	2	1
 760.214	2	1	1
 761.413	3	2	1
 761.582	2	1	1
 761.667	1	0	1
 761.690	2	1	1
 761.847	1	0	1
 762.292	2	1	1
 762.471	1	0	1
 762.678	0	0	0
 763.729	1	0	1
 763.901	0	0	0
 764.652	1	0	1
 765.425	0	0	0
 765.640	1	0	1
 766.408	0	0	0
 766.734	1	0	1
 766.796	0	0	0
 767.242	1	0	1
 767.357	0	0	0
 768.124	1	0	1
 768.271	0	0	0
 769.577	1	0	1
 770.156	0	0	0
 770.426	1	0	1
 770.613	2	1	1
 770.741	1	0	1
 770.844	0	0	0
 771.449	1	0	1
 771.717	0	0	0
 773.329	1	0	1
 773.478	0	0	0
 774.110	1	0	1
 774.172	0	0	0
 774.405	1	0	1
 774.426	0	0	0
 774.980	1	0	1
 775.214	0	0	0
 775.903	1	0	1
 776.133	0	0	0
 776.278	1	0	1
 777.414	0	0	0
 778.674	1	0	1
 778.736	2	1	1
 779.139	1	0	1
 779.228	0	0	0
 780.409	1	0	1
 780.921	0	0	0
 781.735	1	0	1
 781.815	2	1	1
 782.246	3	2	1
 782.451	2	1	1
 782.541	1	0	1
 782.944	2	1	1
 783.217	1	0	1
 783.270	0	0	0
 784.152	1	0	1
 784.292	0	0	0
 785.303	1	0	1
 786.110	2	1	1
 786.270	1	0	1
 786.533	0	0	0
 787.895	1	0	1
 788.211	2	1	1
 788.652	1	0	1
 788.866	0	0	0
 789.148	1	0	1
 790.389	2	1	1
 790.757	1	0	1
 791.318	0	0	0
 791.478	1	0	1
 791.621	0	0	0
 795.007	1	0	1
 795.444	2	1	1
 795.807	3	2	1
 796.067	2	1	1
 796.159	1	0	1
 796.560	0	0	0
 797.531	1	0	1
 797.574	0	0	0
 797.877	1	0	1
 797.997	0	0	0
 798.388	1	0	1
 798.490	2	1	1
 798.535	3	2	1
 799.001	4	3	1
 799.112	3	2	1
 799.279	4	3	1
 799.287	3	2	1
 799.447	2	1	1
 799.456	3	2	1
 799.792	2	1	1
 800.403	3	2	1
 800.498	2	1	1
 800.928	1	0	1
 801.361	0	0	0
 802.397	1	0	1
 802.531	2	1	1
 802.574	1	0	1
 802.624	2	1	1
 803.752	3	2	1
 803.932	2	1	1
 803.981	1	0	1
 804.773	0	0	0
 808.322	1	0	1
 808.882	0	0	0
 808.919	1	0	1
 809.412	2	1	1
 809.720	3	2	1
 809.972	2	1	1
 810.452	1	0	1
 811.275	2	1	1
 812.653	1	0	1
 813.255	0	0	0
 813.453	1	0	1
 813.538	2	1	1
 814.588	1	0	1
 814.919	0	0	0
 817.394	1	0	1
 817.913	0	0	0
 818.189	1	0	1
 818.366	2	1	1
 818.464	1	0	1
 818.998	2	1	1
 819.478	3	2	1
 819.624	2	1	1
 819.985	1	0	1
 820.023	2	1	1
 820.732	1	0	1
 820.791	2	1	1
 820.875	1	0	1
 820.894	2	1	1
 820.964	3	2	1
 821.001	2	1	1
 821.226	3	2	1
 821.238	2	1	1
 822.641	1	0	1
 823.381	0	0	0
 824.722	1	0	1
 824.949	0	0	0
 827.209	1	0	1
 827.451	0	0	0
 827.754	1	0	1
 827.879	0	0	0
 828.394	1	0	1
 828.423	0	0	0
 832.274	1	0	1
 832.855	0	0	0
 833.199	1	0	1
 833.268	2	1	1
 833.859	1	0	1
 833.931	0	0	0
 833.937	1	0	1
 834.128	0	0	0
 834.131	1	0	1
 834.152	0	0	0
 834.234	1	0	1
 834.240	2	1	1
 834.331	1	0	1
 834.654	0	0	0
 836.048	1	0	1
 836.094	0	0	0
 836.731	1	0	1
 836.927	0	0	0
 837.106	1	0	1
 837.177	0	0	0
 837.669	1	0	1
 837.720	0	0	0
 839.577	1	0	1
 839.694	2	1	1
 839.730	3	2	1
 840.006	4	3	1
 840.340	3	2	1
 840.497	4	3	1
 840.539	5	4	1
 840.549	6	5	1
 840.827	7	6	1
 842.203	8	7	1
 842.786	9	8	1
 842.967	8	7	1
 843.037	9	8	1
 843.060	10	9	1
 843.101	9	8	1
 843.598	8	7	1
 844.240	7	6	1
 844.586	6	5	1
 844.692	7	6	1
 844.785	6	5	1
 844.867	5	4	1
 845.313	4	3	1
 845.550	5	4	1
 845.844	4	3	1
 845.987	5	4	1
 846.754	6	5	1
 846.880	5	4	1
 847.121	6	5	1
 847.614	5	4	1
 847.794	6	5	1
 847.804	5	4	1
 848.370	6	5	1
 848.803	7	6	1
 849.274	8	7	1
 849.469	7	6	1
 849.720	8	7	1
 850.337	7	6	1
 850.426	6	5	1
 850.696	5	4	1
 850.909	6	5	1
 851.703	5	4	1
 851.842	6	5	1
 852.041	7	6	1
 852.814	8	7	1
 852.952	7	6	1
 852.976	6	5	1
 853.632	7	6	1
 853.685	6	5	1
 854.662	7	6	1
 854.991	6	5	1
 855.261	5	4	1
 855.699	4	3	1
 856.349	5	4	1
 856.413	4	3	1
 856.672	5	4	1
 858.040	4	3	1
 858.206	3	2	1
 858.862	2	1	1
 858.864	3	2	1
 858.884	2	1	1
 858.940	1	0	1
 859.254	2	1	1
 859.683	3	2	1
 859.695	2	1	1
 859.842	3	2	1
 860.064	2	1	1
 860.302	3	2	1
 860.348	4	3	1
 860.410	3	2	1
 860.425	4	3	1
 860.578	5	4	1
 860.684	6	5	1
 861.253	5	4	1
 861.260	6	5	1
 861.631	5	4	1
 861.800	4	3	1
 862.666	3	2	1
 863.472	2	1	1
 863.474	1	0	1
 864.022	2	1	1
 864.296	1	0	1
 864.600	0	0	0
 864.648	1	0	1
 865.117	2	1	1
 865.863	1	0	1
 866.148	0	0	0
 866.488	1	0	1
 866.656	2	1	1
 866.671	3	2	1
 866.760	2	1	1
 867.667	3	2	1
 868.799	2	1	1
 870.004	3	2	1
 870.029	4	3	1
 870.273	3	2	1
 870.373	2	1	1
 870.395	1	0	1
 870.814	2	1	1
 871.769	3	2	1
 872.027	2	1	1
 872.112	3	2	1
 872.289	2	1	1
 872.674	1	0	1
 872.755	0	0	0
 874.631	1	0	1
 874.737	0	0	0
 875.356	1	0	1
 875.459	0	0	0
 876.609	1	0	1
 876.811	2	1	1
 877.433	3	2	1
 878.134	2	1	1
 878.472	3	2	1
 878.705	2	1	1
 878.973	1	0	1
 879.080	0	0	0
 879.126	1	0	1
 879.761	0	0	0
 881.304	1	0	1
 882.351	0	0	0
 883.681	1	0	1
 883.822	2	1	1
 883.995	1	0	1
 884.241	2	1	1
 885.065	3	2	1
 885.260	2	1	1
 885.299	1	0	1
 885.338	0	0	0
 886.209	1	0	1
 887.038	2	1	1
 887.149	1	0	1
 887.759	2	1	1
 888.637	1	0	1
 889.054	2	1	1
 889.208	3	2	1
 889.346	2	1	1
 889.624	1	0	1
 889.971	2	1	1
 890.044	3	2	1
 890.304	2	1	1
 890.544	1	0	1
 890.663	2	1	1
 891.364	3	2	1
 892.712	2	1	1
 893.111	1	0	1
 893.442	0	0	0
 893.953	1	0	1
 894.078	0	0	0
 894.220	1	0	1
 894.562	2	1	1
 895.324	1	0	1
 895.394	0	0	0
 897.614	1	0	1
 897.895	0	0	0
 899.808	1	0	1
 900.395	0	0	0
 901.592	1	0	1
 901.819	0	0	0
 902.988	1	0	1
 903.293	0	0	0
 906.213	1	0	1
 906.396	0	0	0
 906.929	1	0	1
 907.251	0	0	0
 909.836	1	0	1
 910.071	0	0	0
 910.928	1	0	1
 911.997	0	0	0
 912.414	1	0	1
 912.600	2	1	1
 913.990	3	2	1
 914.057	4	3	1
 914.162	5	4	1
 914.198	4	3	1
 915.001	5	4	1
 915.463	4	3	1
 915.787	5	4	1
 916.048	4	3	1
 916.187	3	2	1
 916.668	2	1	1
 916.753	1	0	1
 916.782	0	0	0
 917.702	1	0	1
 917.810	0	0	0
 921.174	1	0	1
 921.444	0	0	0
 921.809	1	0	1
 921.896	0	0	0
 924.894	1	0	1
 925.004	2	1	1
 925.728	1	0	1
 926.081	0	0	0
 926.614	1	0	1
 926.736	2	1	1
 927.074	1	0	1
 927.153	2	1	1
 927.244	3	2	1
 927.782	2	1	1
 928.259	3	2	1
 928.642	4	3	1
 929.095	3	2	1
 929.127	4	3	1
 929.254	3	2	1
 931.139	2	1	1
 931.561	1	0	1
 931.912	0	0	0
 932.300	1	0	1
 932.337	0	0	0
 933.184	1	0	1
 933.489	2	1	1
 934.261	1	0	1
 935.329	0	0	0
 935.474	1	0	1
 935.629	2	1	1
 936.058	1	0	1
 936.091	0	0	0
 936.191	1	0	1
 936.632	0	0	0
 940.270	1	0	1
 940.578	0	0	0
 941.215	1	0	1
 941.234	0	0	0
 941.752	1	0	1
 941.768	0	0	0
 942.327	1	0	1
 942.381	0	0	0
 943.068	1	0	1
 943.248	0	0	0
 944.192	1	0	1
 944.382	0	0	0
 945.243	1	0	1
 945.446	0	0	0
 945.685	1	0	1
 946.002	0	0	0
 947.273	1	0	1
 947.476	0	0	0
 948.311	1	0	1
 948.633	2	1	1
 948.971	1	0	1
 949.551	2	1	1
 949.679	3	2	1
 949.857	2	1	1
 949.888	3	2	1
 950.162	2	1	1
 950.175	1	0	1
 950.405	2	1	1
 950.654	1	0	1
 951.287	0	0	0
 951.339	1	0	1
 951.941	0	0	0
 951.945	1	0	1
 953.339	2	1	1
 953.587	1	0	1
 953.961	0	0	0
 954.414	1	0	1
 954.605	0	0	0
 954.933	1	0	1
 955.101	0	0	0
 955.299	1	0	1
 955.515	0	0	0
 955.938	1	0	1
 956.739	0	0	0
 957.078	1	0	1
 957.512	2	1	1
 957.859	1	0	1
 957.931	2	1	1
 958.229	3	2	1
 958.587	2	1	1
 958.621	3	2	1
 958.696	4	3	1
 958.883	3	2	1
 959.266	2	1	1
 959.811	3	2	1
 959.882	4	3	1
 960.082	3	2	1
 960.565	2	1	1
 960.673	3	2	1
 961.511	4	3	1
 961.974	3	2	1
 961.989	2	1	1
 962.054	1	0	1
 962.126	0	0	0
 963.311	1	0	1
 963.470	0	0	0
 963.776	1	0	1
 964.256	0	0	0
 967.534	1	0	1
 967.609	0	0	0
 968.293	1	0	1
 968.906	2	1	1
 968.975	1	0	1
 970.018	0	0	0
 970.524	1	0	1
 970.716	2	1	1
 972.544	3	2	1
 973.050	2	1	1
 973.265	1	0	1
 973.505	2	1	1
 974.070	1	0	1
 974.308	0	0	0
 978.110	1	0	1
 978.986	2	1	1
 979.247	3	2	1
 979.462	2	1	1
 980.173	1	0	1
 980.901	0	0	0
 981.300	1	0	1
 981.939	0	0	0
 982.204	1	0	1
 982.373	2	1	1
 982.522	1	0	1
 982.569	2	1	1
 982.651	1	0	1
 983.670	0	0	0
 987.903	1	0	1
 988.030	0	0	0
 988.624	1	0	1
 988.981	0	0	0
 989.776	1	0	1
 990.482	0	0	0
 992.679	1	0	1
 992.775	0	0	0
 993.178	1	0	1
 993.507	2	1	1
 993.622	1	0	1
 994.678	0	0	0
 995.150	1	0	1
 995.756	0	0	0
 996.927	1	0	1
 996.983	0	0	0
 997.156	1	0	1
 998.066	0	0	0
 998.229	1	0	1
 999.048	0	0	0
 999.447	1	0	1
1000.360	2	1	1
