__________________________________________________________________________________

Uk³ad M/M/1/RNT
Œrednia liczba zg³oszeñ na jednostkê czasu : 	   1.000
Œrednia wydajnoœæ stanowiska obs³ugi : 		   2.000
Pojedynczy kwant czasu : 			1000.000


    t		n	k	s
 124.037	2	1	1
 124.229	3	2	1
 125.358	2	1	1
 125.507	1	0	1
 125.940	0	0	0
 126.445	1	0	1
 126.640	0	0	0
 127.369	1	0	1
 127.504	2	1	1
 127.673	3	2	1
 128.307	4	3	1
 128.553	3	2	1
 128.916	2	1	1
 128.977	3	2	1
 129.424	2	1	1
 129.778	1	0	1
 130.013	0	0	0
 130.791	1	0	1
 131.619	0	0	0
 133.440	1	0	1
 133.588	0	0	0
 133.943	1	0	1
 133.955	0	0	0
 137.151	1	0	1
 137.636	2	1	1
 138.268	1	0	1
 139.434	0	0	0
 140.947	1	0	1
 140.949	2	1	1
 141.408	1	0	1
 141.494	2	1	1
 141.838	3	2	1
 141.902	2	1	1
 142.288	3	2	1
 142.469	2	1	1
 142.727	1	0	1
 142.867	0	0	0
 143.715	1	0	1
 143.900	0	0	0
 144.857	1	0	1
 145.010	2	1	1
 145.950	3	2	1
 146.230	2	1	1
 146.235	1	0	1
 146.523	0	0	0
 146.742	1	0	1
 147.346	2	1	1
 147.426	1	0	1
 147.921	0	0	0
 150.018	1	0	1
 150.545	2	1	1
 150.630	1	0	1
 151.424	2	1	1
 151.459	3	2	1
 151.577	4	3	1
 151.650	3	2	1
 152.290	2	1	1
 152.816	3	2	1
 152.860	2	1	1
 152.899	3	2	1
 153.085	4	3	1
 153.467	5	4	1
 153.922	4	3	1
 154.812	3	2	1
 155.130	2	1	1
 155.611	1	0	1
 155.865	0	0	0
 155.963	1	0	1
 156.744	2	1	1
 156.836	1	0	1
 156.870	2	1	1
 158.398	3	2	1
 158.407	2	1	1
 158.745	3	2	1
 158.938	2	1	1
 159.395	1	0	1
 159.879	0	0	0
 160.351	1	0	1
 160.403	0	0	0
 162.545	1	0	1
 162.657	0	0	0
 163.135	1	0	1
 163.272	0	0	0
 163.928	1	0	1
 164.585	0	0	0
 165.100	1	0	1
 166.224	2	1	1
 166.402	1	0	1
 167.282	0	0	0
 167.555	1	0	1
 167.781	0	0	0
 168.491	1	0	1
 168.705	0	0	0
 169.090	1	0	1
 169.652	0	0	0
 169.737	1	0	1
 169.796	2	1	1
 170.270	1	0	1
 170.337	0	0	0
 170.683	1	0	1
 171.280	0	0	0
 172.224	1	0	1
 173.089	0	0	0
 174.549	1	0	1
 174.649	0	0	0
 177.537	1	0	1
 177.924	0	0	0
 180.276	1	0	1
 181.177	0	0	0
 181.272	1	0	1
 181.301	0	0	0
 181.453	1	0	1
 181.852	0	0	0
 184.412	1	0	1
 184.500	0	0	0
 185.877	1	0	1
 186.785	2	1	1
 186.981	1	0	1
 187.081	0	0	0
 187.095	1	0	1
 187.221	2	1	1
 187.245	1	0	1
 187.741	2	1	1
 187.852	3	2	1
 187.891	2	1	1
 188.299	3	2	1
 188.552	2	1	1
 188.639	3	2	1
 188.714	4	3	1
 188.953	5	4	1
 189.332	6	5	1
 190.343	5	4	1
 190.523	4	3	1
 191.136	3	2	1
 191.184	2	1	1
 192.613	3	2	1
 192.639	2	1	1
 193.324	1	0	1
 194.178	0	0	0
 194.258	1	0	1
 194.306	0	0	0
 194.384	1	0	1
 194.431	0	0	0
 194.989	1	0	1
 195.676	0	0	0
 197.611	1	0	1
 197.916	0	0	0
 198.401	1	0	1
 198.550	0	0	0
 198.849	1	0	1
 199.218	0	0	0
 199.521	1	0	1
 199.527	0	0	0
 200.300	1	0	1
 200.338	0	0	0
 200.810	1	0	1
 202.037	2	1	1
 202.093	1	0	1
 202.133	0	0	0
 203.057	1	0	1
 203.638	0	0	0
 204.300	1	0	1
 204.423	2	1	1
 204.639	1	0	1
 204.690	0	0	0
 205.685	1	0	1
 206.629	0	0	0
 208.437	1	0	1
 209.020	0	0	0
 209.267	1	0	1
 209.357	0	0	0
 210.572	1	0	1
 210.583	2	1	1
 211.283	1	0	1
 211.820	0	0	0
 211.858	1	0	1
 212.175	0	0	0
 213.438	1	0	1
 213.653	0	0	0
 213.945	1	0	1
 214.186	2	1	1
 214.412	1	0	1
 214.574	2	1	1
 214.719	1	0	1
 214.848	0	0	0
 215.801	1	0	1
 215.945	0	0	0
 216.371	1	0	1
 216.493	0	0	0
 217.261	1	0	1
 217.843	0	0	0
 219.894	1	0	1
 220.282	0	0	0
 222.857	1	0	1
 222.895	0	0	0
 223.573	1	0	1
 224.023	2	1	1
 224.117	1	0	1
 224.506	0	0	0
 225.052	1	0	1
 225.357	0	0	0
 227.572	1	0	1
 227.590	0	0	0
 227.642	1	0	1
 228.056	0	0	0
 228.948	1	0	1
 229.061	0	0	0
 230.252	1	0	1
 230.255	0	0	0
 232.378	1	0	1
 232.551	0	0	0
 234.592	1	0	1
 235.008	0	0	0
 235.403	1	0	1
 235.443	2	1	1
 236.797	3	2	1
 238.258	2	1	1
 238.343	1	0	1
 239.090	2	1	1
 239.233	1	0	1
 239.392	0	0	0
 240.515	1	0	1
 240.851	0	0	0
 241.534	1	0	1
 241.649	0	0	0
 242.316	1	0	1
 242.419	2	1	1
 242.474	1	0	1
 242.907	2	1	1
 242.936	1	0	1
 243.296	0	0	0
 243.844	1	0	1
 244.313	0	0	0
 244.799	1	0	1
 245.287	0	0	0
 246.131	1	0	1
 246.579	0	0	0
 246.585	1	0	1
 246.623	2	1	1
 246.664	1	0	1
 246.812	0	0	0
 247.207	1	0	1
 248.221	2	1	1
 249.092	1	0	1
 249.579	0	0	0
 251.393	1	0	1
 251.633	2	1	1
 251.849	3	2	1
 251.874	2	1	1
 251.964	1	0	1
 252.032	0	0	0
 253.163	1	0	1
 253.218	0	0	0
 255.423	1	0	1
 255.504	0	0	0
 259.347	1	0	1
 259.849	0	0	0
 262.537	1	0	1
 262.614	0	0	0
 263.978	1	0	1
 264.198	2	1	1
 264.417	1	0	1
 264.558	2	1	1
 265.096	1	0	1
 265.635	2	1	1
 265.853	3	2	1
 265.930	2	1	1
 266.906	1	0	1
 267.001	2	1	1
 267.007	3	2	1
 267.078	2	1	1
 268.070	3	2	1
 268.246	2	1	1
 268.423	3	2	1
 268.605	4	3	1
 268.889	3	2	1
 269.086	2	1	1
 269.155	1	0	1
 269.327	0	0	0
 269.855	1	0	1
 269.887	2	1	1
 270.423	3	2	1
 270.500	2	1	1
 270.602	1	0	1
 270.650	0	0	0
 270.851	1	0	1
 271.043	0	0	0
 274.009	1	0	1
 274.255	0	0	0
 274.889	1	0	1
 275.468	2	1	1
 275.941	3	2	1
 276.619	4	3	1
 276.774	3	2	1
 276.847	2	1	1
 277.278	3	2	1
 277.435	2	1	1
 277.884	3	2	1
 278.011	4	3	1
 278.354	3	2	1
 278.610	2	1	1
 278.926	1	0	1
